[로그 시작] 클라이언트 1 로그 파일
[파일 선택] c:\Users\ksh07\Desktop\G1HW3\ksh/Expression1.txt
[1번 수식 전송]: 6/8-6-7+9*10*3+5*3+8/2*9*1-5*5/3
[2번 수식 전송]: 6/8-8-3/3+9*5/3/10/8/8-2+4+6+2*9/10+10/6/8*9/7/6*3/3*4-2+4-4-7-10*8*6*6*10*9/8+3+7/3-10/1-5+4/1
[3번 수식 전송]: 2/8/8+9/8-4+9/1*8/1+2*6-10*5-3/5*2-3+3-10+10*4/4/3/2*10-10/10*4-1/9/5
[4번 수식 전송]: 5-4+5*6/6*8+7/6+10+4*7/1*2+1/1/5/1-6/3/7+1+1*10+2/2*5*1
[5번 수식 전송]: 4-5/5+3+10-6/10+3*9+7+9-1-9+2-10-5/9*9*5/1-2/10/3-8/2-9/2+3+8+10+8+2-6/1/7-10-9-3/8*5/1/5
[6번 수식 전송]: 5*2+10-6*7+6/9-9-8+3-2*7-6*2/9*4/7-5*3/4*7+9+9/8*9+5-3*6/7-8/1+10+7+10+1+3+10*6+4+4
[7번 수식 전송]: 6+3-7*6+8+10*6*3*2-1+8+8/9+5/3+10*7-9/9/5+8+7/7-6/1*6/3/6*10+6-3/1+4+1/7*8*1*10+3-6/1/3-4
[8번 수식 전송]: 10*1/1*6-8*5/8-8+2+2/2/2*5/6*2-2-8/10*1+5/1+6+1/2-10*1*6*8*6-2*3*1-7-10*8-6*10-5/9
[9번 수식 전송]: 8-5/2/4*5/10*3-2/2*10+9/9-1-6+4/10*9
[10번 수식 전송]: 10/8-6-1/7+5/5/9*2/7-6-9/8-9/5/9+6*2/9*10/3/5-3/3*7-7*2*10+10/7+3-4*3/3+9+3+6-1*7/9/10
[11번 수식 전송]: 6-7-5*10-9+4+1-10*1*3+4*2+10+3
[12번 수식 전송]: 7-7-2-5*2/8*1*8+1/10
[13번 수식 전송]: 5*3/2+7-6+5*10-7/10*10/6-9*4*10-1*10-5/7/9*6*7-8/4-10*7/4*9+7+3*3*7/10-8-6*2*10-6-5*6*6+8-2/3-7/9*7+3+3*3
[14번 수식 전송]: 10*10-2+9*2/7-5/10/6+7/1+4*4-8+5-2*9+7*10-4/10/6+2/10+7+4/5-4/3-2-1+7+9-9+1-1*9-8-8*5-4-7/4*8+10/4-2
[15번 수식 전송]: 9/3/6*5/9/5-2-4/4+9+7/5-6+6+4+4+8-10*6-2+2+6-9*10*2-9*9-2/10/6+2-7*2+7+2/3-6*2*10
[16번 수식 전송]: 5*1-6+2*3+8-7-6+7/7/4-10*5-6/8*9*2*3+1/5-5*7-8-7/4/6+4+2+9/4-1+4*1-6*1*1*5+2*9-4+6
